url,prjname,devName,price,priceD,sqFtPrD,reraId,propTypeD,lmtDName,waterStatus,postDateT,dimensions
480-Sq-yrd-Residential-Plot-FOR-Sale-Pulimamidi-in-Hyderabad&id=4d423632363439373333,,,10000000,1 Cr,2315.0,,Residential Plot,Pulumamidi,,2024-05-21T07:40:30.000Z,
150-Sq-yrd-Residential-Plot-FOR-Sale-Sadashivpet-in-Hyderabad&id=4d423638303930323339,,,1125000,11.3 Lac,833.0,,Residential Plot,Sadashivpet,,2024-05-02T23:36:13.000Z,30 X 50
200-Sq-yrd-Residential-Plot-FOR-Sale-Vijayawada-Highway-in-Hyderabad&id=4d423632343136333431,,,3600000,36 Lac,2000.0,,Residential Plot,Vijayawada Highway,,2024-05-22T23:55:28.000Z,20 X 10
150-Sq-yrd-Residential-Plot-FOR-Sale-Sadashivpet-in-Hyderabad&id=4d423731363130313931,Greenville Lorven County,Greenville Projects Pvt. Ltd.,2400000,24 Lac,1778.0,,Residential Plot,Sadashivpet,,2024-05-17T02:06:55.000Z,40 X 33
121-Sq-yrd-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423732373039303735,,,1000000,10 Lac,918.0,,Residential Plot,Shadnagar,,2024-05-18T03:46:25.000Z,33.61 X 3.6
200-Sq-yrd-Residential-Plot-FOR-Sale-Lakdaram-in-Hyderabad&id=4d423637323937313831,,,5200000,52 Lac,2889.0,,Residential Plot,Lakdaram,,2024-02-07T14:49:08.000Z,
300-Sq-yrd-Residential-Plot-FOR-Sale-Kondapur-in-Hyderabad&id=4d423431373830393935,Hal Society,,40000000,4 Cr,133000.0,,Residential Plot,Kondapur,,2024-03-30T17:35:02.000Z,45 X 6.67
253-Sq-yrd-Residential-Plot-FOR-Sale-Sadashivpet-in-Hyderabad&id=4d423632333431333135,,,2700000,27 Lac,1186.0,,Residential Plot,Sadashivpet,,2024-05-22T23:39:34.000Z,4.69 X 54
146-Sq-yrd-Residential-Plot-FOR-Sale-Budhera-in-Hyderabad&id=4d423731343733303437,,,1500000,15 Lac,1142.0,,Residential Plot,Budhera,,2024-05-14T23:45:51.000Z,
1800-Sq-ft-Residential-Plot-FOR-Sale-Sadashivpet-in-Hyderabad&id=4d423732303433303237,Virtusa Triton,Virtusa Life Spaces India Pvt Ltd,4999999,50 Lac,2778.0,,Residential Plot,Sadashivpet,,2024-05-20T07:48:10.000Z,51 X 35.29
165-Sq-yrd-Residential-Plot-FOR-Sale-Sadashivpet-in-Hyderabad&id=4d423731383439373139,Spacevision Ambience,Space Vision Group,2300000,23 Lac,1549.0,,Residential Plot,Sadashivpet,,2024-05-18T23:31:17.000Z,
134-Sq-ft-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423731323131393037,,,1474000,14.7 Lac,11000.0,,Residential Plot,Shadnagar,,2024-05-20T23:35:53.000Z,30 X 40
918-Sq-ft-Residential-Plot-FOR-Sale-Shirdi-Enclave-Badangpet-in-Hyderabad&id=4d423731323130393439,,,3000000,30 Lac,3268.0,,Residential Plot,Shirdi Enclave Badangpet,,2024-05-20T23:35:29.000Z,40.4 X 22.72
147-Sq-yrd-Residential-Plot-FOR-Sale-Nagulapally-Farooqnagar-in-Hyderabad&id=4d423732313731373835,,,1396500,14 Lac,1056.0,,Residential Plot,Nagulapally Farooqnagar,,2024-05-13T23:38:27.000Z,33 X 4.45
